id,cycle_time_days,tags
1239,-1,"app,support"
4275,-1,app
590,-1,app
3958,-1,app
2038,-1,"app,support,urgent,quickwin"
5627,-1,"app,urgent"
2943,-1,"app,support"
3830,-1,"app,urgent"
7539,-1,"app,urgent"
1855,-1,"app,quickwin"
3476,-1,"app,urgent"
2642,-1,app
3178,-1,"app,support,urgent"
2528,-1,app
2474,-1,"app,support"
2342,-1,app
526,-1,"app,urgent"
545,-1,app
189,-1,app
1351,-1,app
1857,-1,app
6346,-1,app
989,-1,app
3227,-1,app
8753,-1,"app,support"
1542,-1,"app,support"
4448,-1,"app,urgent"
461,-1,app
1304,-1,"app,support"
2984,-1,"app,urgent"
1352,-1,
3396,-1,"app,quickwin"
282,-1,app
7669,-1,"app,urgent"
2735,-1,"app,support"
2479,-1,"app,quickwin"
1826,-1,app
5111,-1,app
3547,-1,app
1841,-1,"app,support,urgent"
4060,-1,app
324,18,"app,urgent"
322,1,app
320,1,"app,support"
319,2,"app,support,quickwin"
317,66,app
318,57,app
313,53,app
5066,1,"app,support"
312,20,"app,urgent"
5059,1,
5058,1,"app,support,urgent"
308,3,"app,urgent"
6362,4,app
5034,1,"app,support"
302,171,app
303,72,"app,support,quickwin"
301,9,app
7686,1,app
7687,233,quickwin
7688,61,app
5040,2,"app,support,urgent,quickwin"
5045,2,app
6369,10,app
5094,4,"app,support"
5093,1,app
369,26,app
5099,10,"app,urgent"
366,238,app
364,173,app
365,6,app
363,14,quickwin
361,15,app
357,15,"app,support"
358,15,app
355,1,app
353,8,app
5070,1,"app,urgent"
5073,10,app
349,69,app
347,4,app
5077,3,"app,support"
5076,2,"app,support,urgent"
344,35,app
345,165,app
343,26,app
336,1,app
333,38,app
334,114,"app,support"
285,240,app
7741,2,"app,quickwin"
7743,15,app
7744,2,app
6413,9,app
6431,6,"app,support"
5100,5,"app,quickwin"
6425,4,"app,urgent"
6422,6,quickwin
6423,1,app
262,65,"app,support,urgent"
7727,106,"app,urgent"
7734,16,"app,quickwin"
252,33,app
253,171,app
7792,1,"app,urgent"
7790,1,urgent
7789,1,"app,quickwin"
7788,1,app
6472,2,app
6471,3,app
7797,1,"app,urgent"
6440,4,"app,support,quickwin"
6441,2,app
6442,1,app
6432,3,app
5108,1,app
6433,4,app
6434,4,"app,support"
296,45,app
6445,1,"app,urgent"
292,278,"app,support"
6446,9,app
290,11,app
7716,158,app
7717,158,"app,support"
409,42,"app,urgent,quickwin"
407,6,"app,quickwin"
408,6,app
7594,16,"app,support"
7595,9,"app,urgent"
7597,8,"app,support"
441,1,"app,urgent"
6258,4,app
7598,10,"app,support,urgent"
6267,4,app
7599,10,app
6268,4,app
429,2,"app,quickwin"
425,25,"app,urgent"
426,12,"app,support"
423,11,app
424,24,app
6234,10,"app,quickwin"
6235,13,app
7583,5,
7586,1,app
7580,42,"app,support"
7581,226,"app,support"
410,46,app
7576,1,app
7578,1,"app,urgent,quickwin"
7579,226,app
484,2,app
478,15,app
479,28,app
473,8,"app,urgent"
471,4,"app,urgent,quickwin"
6284,1,app
466,42,app
464,1,"app,urgent"
6278,7,app
459,35,"app,urgent"
452,28,app
