id,start_date,end_date
1,2024-01-01,2024-01-02
2,2024-01-02,2024-01-04
3,2024-01-03,2024-01-05
4,2024-01-04,2024-01-07
5,2024-01-05,2024-01-08
6,2024-01-06,2024-01-09
7,2024-01-07,2024-01-10
8,2024-01-08,2024-01-11
9,2024-01-09,2024-01-12
10,2024-01-10,2024-01-13
11,2024-01-11,2024-01-14
12,2024-01-12,2024-01-15
13,2024-01-13,2024-01-16
14,2024-01-14,2024-01-17
15,2024-01-15,2024-01-18
16,2024-01-16,2024-01-19
17,2024-01-17,2024-01-20
18,2024-01-18,2024-01-21
19,2024-01-19,2024-01-22
20,2024-01-20,2024-01-23
21,2024-01-21,2024-01-24
22,2024-01-22,2024-01-25
23,2024-01-23,2024-01-26
24,2024-01-24,2024-01-27
25,2024-01-25,2024-01-28
26,2024-01-26,2024-01-29
27,2024-01-27,2024-01-30
28,2024-01-28,2024-01-31
29,2024-01-29,2024-02-01
30,2024-01-30,2024-02-02
31,2024-01-31,2024-02-03
32,2024-02-01,2024-02-04
33,2024-02-02,2024-02-05
34,2024-02-03,2024-02-06
35,2024-02-04,2024-02-07
36,2024-02-05,2024-02-08
37,2024-02-06,2024-02-09
38,2024-02-07,2024-02-10
39,2024-02-08,2024-02-11
40,2024-02-09,2024-02-12
41,2024-02-10,2024-02-13
42,2024-02-11,2024-02-14
43,2024-02-12,2024-02-15
44,2024-02-13,2024-02-16
45,2024-02-14,2024-02-17
46,2024-02-15,2024-02-18
47,2024-02-16,2024-02-19
48,2024-02-17,2024-02-20
49,2024-02-18,2024-02-21
50,2024-02-19,2024-02-22
51,2024-02-20,2024-02-23
52,2024-02-21,2024-02-24
53,2024-02-22,2024-02-25
54,2024-02-23,2024-02-26
55,2024-02-24,2024-02-27
56,2024-02-25,2024-02-28
57,2024-02-26,2024-03-01
58,2024-02-27,2024-03-02
59,2024-02-28,2024-03-03
60,2024-03-01,2024-03-04
61,2024-03-02,2024-03-05
62,2024-03-03,2024-03-06
63,2024-03-04,2024-03-07
64,2024-03-05,2024-03-08
65,2024-03-06,2024-03-09
66,2024-03-07,2024-03-10
67,2024-03-08,2024-03-11
68,2024-03-09,2024-03-12
69,2024-03-10,2024-03-13
70,2024-03-11,2024-03-14
71,2024-03-12,2024-03-15
72,2024-03-13,2024-03-16
73,2024-03-14,2024-03-17
74,2024-03-15,2024-03-18
75,2024-03-16,2024-03-19
76,2024-03-17,2024-03-20
77,2024-03-18,2024-03-21
78,2024-03-19,2024-03-22
79,2024-03-20,2024-03-23
80,2024-03-21,2024-03-24
81,2024-03-22,2024-03-25
82,2024-03-23,2024-03-26
83,2024-03-24,2024-03-27
84,2024-03-25,2024-03-28
85,2024-03-26,2024-03-29
86,2024-03-27,2024-03-30
87,2024-03-28,2024-03-31
88,2024-03-29,2024-04-01
89,2024-03-30,2024-04-02
90,2024-03-31,2024-04-03
91,2024-04-01,2024-04-04
92,2024-04-02,2024-04-05
93,2024-04-03,2024-04-06
94,2024-04-04,2024-04-07
95,2024-04-05,2024-04-08
96,2024-04-06,2024-04-09
97,2024-04-07,2024-04-10
98,2024-04-08,2024-04-11
99,2024-04-09,2024-04-12
100,2024-04-10,2024-04-13
