id,grp,cycle_time_days,created_date,tags
5052,0,-1,2015-02-05,app
326,0,-1,2013-12-25,"app,support,urgent"
5056,0,-1,2015-10-16,"app,support"
324,0,18,2013-08-13,"app,urgent"
325,0,-1,2013-12-25,app
322,0,1,2014-09-17,app
323,0,-1,2013-10-19,app
320,0,2,2013-07-23,app
319,0,5,2013-07-27,app
317,0,130,2013-07-16,app
318,0,57,2013-07-18,app
313,0,53,2013-07-18,"app,urgent"
5066,0,1,2015-02-17,app
5065,0,-1,2015-04-18,app
312,0,20,2013-07-16,app
5059,0,1,2015-02-08,"app,support"
5058,0,1,2015-02-10,app
308,0,3,2013-08-18,app
6362,0,4,2015-07-23,"app,urgent"
5034,0,1,2015-02-19,app
302,0,171,2013-07-26,app
303,0,72,2013-07-14,app
301,0,25,2013-08-13,
7686,0,1,2016-04-28,app
7687,0,233,2017-03-21,"app,support"
7688,0,61,2016-04-24,app
7689,0,-1,2016-11-09,"app,support,urgent,quickwin"
5040,0,2,2015-02-04,"app,support,urgent"
5045,0,2,2015-02-04,app
6369,0,10,2015-07-06,app
5096,0,-1,2015-05-09,app
5095,0,-1,2015-05-09,"app,urgent"
5094,0,4,2015-03-02,app
5093,0,1,2015-02-15,"app,support"
369,0,26,2013-09-15,app
5099,0,10,2015-02-14,app
366,0,238,2013-09-27,"app,support"
367,0,-1,2013-12-06,"app,urgent"
364,0,173,2013-09-11,app
365,0,6,2013-12-07,"app,support,urgent"
363,0,22,2013-09-03,app
360,0,-1,2014-12-21,app
361,0,15,2013-09-17,"app,quickwin"
357,0,24,2013-08-27,"app,support"
358,0,15,2013-08-27,
355,0,1,2013-08-19,app
353,0,8,2013-08-26,"app,urgent,quickwin"
354,0,-1,2013-08-19,app
352,0,-1,2013-10-19,app
5070,0,1,2015-05-01,"app,urgent"
5073,0,10,2015-02-12,app
349,0,69,2013-12-27,app
5071,0,-1,2015-05-01,app
346,0,-1,2013-08-08,app
347,0,11,2013-08-12,app
5077,0,8,2015-02-13,"app,urgent"
5076,0,2,2015-02-15,"app,support,quickwin"
344,0,74,2013-08-07,app
345,0,279,2014-04-17,app
343,0,26,2013-09-06,app
335,0,-1,2013-07-30,"app,support"
336,0,1,2013-10-17,app
333,0,38,2013-09-27,app
334,0,114,2013-08-23,app
285,0,558,2013-08-14,app
7741,0,2,2016-05-24,app
7743,0,15,2016-05-27,"app,quickwin"
7744,0,2,2016-05-27,"app,quickwin"
6413,0,9,2015-07-12,app
6431,0,6,2015-07-22,"app,support"
5100,0,11,2015-02-14,app
6425,0,4,2015-07-13,"app,urgent"
6427,0,-1,2015-12-27,"app,support"
6422,0,6,2015-07-18,support
6423,0,1,2015-07-21,app
263,0,-1,2014-03-07,"app,urgent"
262,0,65,2013-07-06,app
7727,0,106,2016-06-03,app
7734,0,27,2016-05-09,"support,urgent"
254,0,-1,2013-03-01,"app,support"
7735,0,-1,2016-05-13,"app,urgent"
252,0,33,2013-08-17,"app,support,urgent"
253,0,268,2013-07-14,app
7739,0,-1,2016-10-23,app
7792,0,1,2016-06-23,urgent
7790,0,1,2016-06-21,app
