id,grp,cycle_time_days,created_date,tags
5052,0,-1,2015-02-05,app
326,0,-1,2013-12-25,"app,support"
5056,0,-1,2015-10-16,app
324,0,18,2013-08-13,"app,urgent"
325,0,-1,2013-12-25,app
322,0,1,2014-09-17,app
323,0,-1,2013-10-19,app
320,0,1,2013-07-23,"app,support"
319,0,2,2013-07-27,"app,support,quickwin"
317,0,66,2013-07-16,app
318,0,57,2013-07-18,app
313,0,53,2013-07-18,app
5066,0,1,2015-02-17,"app,support"
5065,0,-1,2015-04-18,"app,urgent"
312,0,20,2013-07-16,"app,urgent"
5059,0,1,2015-02-08,
5058,0,1,2015-02-10,"app,support,urgent"
308,0,3,2013-08-18,"app,urgent"
6362,0,4,2015-07-23,app
5034,0,1,2015-02-19,"app,support"
302,0,171,2013-07-26,app
303,0,72,2013-07-14,"app,support,quickwin"
301,0,9,2013-08-13,app
7686,0,1,2016-04-28,app
7687,0,233,2017-03-21,quickwin
7688,0,61,2016-04-24,app
7689,0,-1,2016-11-09,app
5040,0,2,2015-02-04,"app,support,urgent,quickwin"
5045,0,2,2015-02-04,app
6369,0,10,2015-07-06,app
5096,0,-1,2015-05-09,app
5095,0,-1,2015-05-09,app
5094,0,4,2015-03-02,"app,support"
5093,0,1,2015-02-15,app
369,0,26,2013-09-15,app
5099,0,10,2015-02-14,"app,urgent"
366,0,238,2013-09-27,app
367,0,-1,2013-12-06,
364,0,173,2013-09-11,app
365,0,6,2013-12-07,app
363,0,14,2013-09-03,quickwin
360,0,-1,2014-12-21,app
361,0,15,2013-09-17,app
357,0,15,2013-08-27,"app,support"
358,0,15,2013-08-27,app
355,0,1,2013-08-19,app
353,0,8,2013-08-26,app
354,0,-1,2013-08-19,app
352,0,-1,2013-10-19,app
5070,0,1,2015-05-01,"app,urgent"
5073,0,10,2015-02-12,app
349,0,69,2013-12-27,app
5071,0,-1,2015-05-01,app
346,0,-1,2013-08-08,app
347,0,4,2013-08-12,app
5077,0,3,2015-02-13,"app,support"
5076,0,2,2015-02-15,"app,support,urgent"
344,0,35,2013-08-07,app
345,0,165,2014-04-17,app
343,0,26,2013-09-06,app
335,0,-1,2013-07-30,"app,support,quickwin"
336,0,1,2013-10-17,app
333,0,38,2013-09-27,app
334,0,114,2013-08-23,"app,support"
285,0,240,2013-08-14,app
7741,0,2,2016-05-24,"app,quickwin"
7743,0,15,2016-05-27,app
7744,0,2,2016-05-27,app
6413,0,9,2015-07-12,app
6431,0,6,2015-07-22,"app,support"
5100,0,5,2015-02-14,"app,quickwin"
6425,0,4,2015-07-13,"app,urgent"
6427,0,-1,2015-12-27,app
6422,0,6,2015-07-18,quickwin
6423,0,1,2015-07-21,app
263,0,-1,2014-03-07,app
262,0,65,2013-07-06,"app,support,urgent"
7727,0,106,2016-06-03,"app,urgent"
7734,0,16,2016-05-09,"app,quickwin"
254,0,-1,2013-03-01,"app,support"
7735,0,-1,2016-05-13,app
252,0,33,2013-08-17,app
253,0,171,2013-07-14,app
7739,0,-1,2016-10-23,urgent
7792,0,1,2016-06-23,"app,urgent"
7790,0,1,2016-06-21,urgent
7789,0,1,2016-06-20,"app,quickwin"
7788,0,1,2016-06-20,app
6472,0,2,2015-07-28,app
6470,0,-1,2015-07-22,app
6471,0,3,2015-07-26,app
7797,0,1,2016-07-06,"app,urgent"
7799,0,-1,2016-09-06,app
6440,0,4,2015-07-20,"app,support,quickwin"
6441,0,2,2015-07-18,app
6442,0,1,2015-07-16,app
5111,0,-1,2015-05-20,app
5110,0,-1,2015-02-16,"app,urgent"
5104,0,-1,2015-05-10,"app,quickwin"
5103,0,-1,2015-02-14,
5102,0,-1,2015-02-14,app
6439,0,-1,2015-08-26,app
5101,0,-1,2015-02-14,"app,support"
6432,0,3,2015-07-26,app
5108,0,1,2015-04-28,app
6433,0,4,2015-07-28,app
5107,0,-1,2015-04-11,"app,support,urgent"
6434,0,4,2015-08-03,"app,support"
5106,0,-1,2015-04-11,app
5105,0,-1,2015-05-10,"app,support"
5109,0,-1,2015-04-11,app
296,0,45,2013-11-19,app
6445,0,1,2015-07-18,"app,urgent"
292,0,278,2013-11-07,"app,support"
6446,0,9,2015-07-18,app
290,0,11,2013-06-28,app
291,0,-1,2015-08-07,"app,urgent"
7712,0,-1,2016-11-03,"app,support"
7714,0,-1,2016-04-26,app
7715,0,-1,2016-11-16,app
7716,0,158,2016-05-19,app
7717,0,158,2016-05-19,"app,support"
7718,0,-1,2016-07-01,"app,urgent"
409,0,42,2013-09-28,"app,urgent,quickwin"
407,0,6,2013-09-21,"app,quickwin"
408,0,6,2013-09-23,app
7594,0,16,2016-02-22,"app,support"
7595,0,9,2016-02-22,"app,urgent"
447,0,-1,2013-10-02,"app,urgent"
7597,0,8,2016-02-26,"app,support"
441,0,1,2013-10-02,"app,urgent"
7587,0,-1,2016-02-16,app
6258,0,4,2015-07-04,app
435,0,-1,2014-01-06,app
7598,0,10,2016-03-01,"app,support,urgent"
6267,0,4,2015-06-22,app
7599,0,10,2016-03-05,app
6268,0,4,2015-08-25,app
429,0,2,2013-09-29,"app,quickwin"
427,0,-1,2013-12-06,app
425,0,25,2013-09-28,"app,urgent"
426,0,12,2013-09-28,"app,support"
423,0,11,2013-10-12,app
424,0,24,2013-09-27,app
6234,0,10,2015-06-19,"app,quickwin"
6235,0,13,2015-06-17,app
7583,0,5,2016-02-15,
7586,0,1,2016-02-16,app
7580,0,42,2016-03-10,"app,support"
413,0,-1,2013-09-23,app
7581,0,226,2016-03-10,"app,support"
410,0,46,2014-04-30,app
7576,0,1,2016-02-21,app
7578,0,1,2016-03-02,"app,urgent,quickwin"
7579,0,226,2016-03-10,app
484,0,2,2013-10-10,app
481,0,-1,2013-10-05,app
482,0,-1,2014-05-03,"app,urgent,quickwin"
480,0,-1,2013-10-07,app
478,0,15,2013-10-09,app
479,0,28,2013-10-13,app
477,0,-1,2013-10-09,app
473,0,8,2013-10-04,"app,urgent"
471,0,4,2013-12-16,"app,urgent,quickwin"
465,0,-1,2013-02-04,app
6284,0,1,2015-06-23,app
466,0,42,2013-10-01,app
464,0,1,2014-02-28,"app,urgent"
461,0,-1,2014-02-11,app
462,0,-1,2013-10-02,"app,support,urgent,quickwin"
6278,0,7,2015-06-21,app
459,0,35,2013-10-20,"app,urgent"
457,0,-1,2013-09-30,"app,urgent"
452,0,28,2013-10-04,app
453,0,3,2013-10-02,app
451,0,-1,2013-10-12,"app,urgent"
6289,0,-1,2015-12-12,app
7630,0,2,2016-04-14,app
7624,0,-1,2016-06-10,app
7625,0,10,2016-03-14,"app,support,urgent,quickwin"
7626,0,21,2016-06-30,"app,urgent"
7627,0,4,2016-03-16,"app,quickwin"
7621,0,2,2016-03-23,app
7623,0,158,2016-04-06,
7628,0,1,2016-05-01,"app,quickwin"
7629,0,103,2016-03-20,app
7641,0,4,2016-03-15,app
397,0,-1,2013-05-23,app
398,0,-1,2013-09-25,app
7637,0,-1,2016-03-08,app
7631,0,-1,2016-04-02,"app,support"
393,0,31,2013-10-30,app
7632,0,1,2016-03-04,app
394,0,1,2013-09-18,app
391,0,-1,2013-12-12,app
392,0,33,2013-09-18,"app,support"
390,0,-1,2013-11-30,app
389,0,39,2013-09-12,app
7602,0,9,2016-03-17,app
7603,0,9,2016-03-21,app
7604,0,5,2016-03-27,"app,urgent"
7605,0,8,2016-03-29,"app,support"
382,0,-1,2013-11-02,"app,support"
7600,0,-1,2016-03-13,app
7601,0,10,2016-03-13,"app,support"
7606,0,7,2016-04-02,"app,support,urgent"
7607,0,10,2016-04-06,"app,support,urgent,quickwin"
7608,0,10,2016-04-10,"app,urgent"
7609,0,9,2016-04-14,"app,support"
7610,0,5,2016-04-20,"app,urgent"
7671,0,-1,2016-10-13,"app,urgent"
6340,0,2,2015-06-25,"app,support"
7672,0,-1,2016-10-13,"app,urgent"
6341,0,1,2015-06-30,app
7670,0,66,2016-12-18,app
7668,0,66,2016-12-17,"app,quickwin"
6337,0,8,2015-06-28,app
7669,0,-1,2016-07-24,"app,urgent"
6338,0,-1,2015-06-23,"app,support,urgent"
6339,0,-1,2015-06-23,"app,urgent"
7664,0,5,2016-03-30,"app,support"
7667,0,58,2016-04-03,"app,support,urgent"
6336,0,5,2015-06-29,app
7682,0,-1,2016-08-05,app
7683,0,66,2016-12-06,app
7684,0,-1,2016-07-26,app
7681,0,4,2016-05-09,"app,urgent"
6350,0,15,2016-06-27,app
6348,0,1,2015-07-14,"app,support"
6349,0,6,2015-06-29,"app,support,urgent"
6345,0,4,2015-06-30,app
6346,0,-1,2015-10-04,app
6347,0,7,2015-07-10,"app,quickwin"
7642,0,4,2016-04-20,
7660,0,9,2016-03-21,app
7661,0,28,2016-03-27,app
7662,0,28,2016-04-02,"app,urgent"
7663,0,11,2016-04-21,"app,urgent"
7657,0,-1,2016-04-14,app
7658,0,11,2016-03-27,app
6327,0,6,2015-06-22,"app,support"
7659,0,16,2016-04-02,"app,support"
5297,0,4,2015-02-28,"app,quickwin"
5273,0,7,2015-02-27,"app,support"
5269,0,22,2015-02-24,app
5283,0,6,2015-02-28,app
117,0,73,2013-08-26,"app,quickwin"
115,0,-1,2013-05-14,app
113,0,39,2013-08-14,quickwin
